ID	chr	start	end	strand
NM_011270	chr4	134420451	134452087	+
NM_011271	chr14	51764677	51766442	-
NM_011272	chr19	29406245	29409160	-
NM_011273	chr1	157122787	157264574	-
NM_011274	chr7	38745011	38804571	-
NM_011275	chr12	29334467	29344456	+
NM_011276	chrX	101152506	101176623	-
NM_011277	chr1	153316536	153347953	-
NM_011278	chr5	34678899	34696094	+
NM_011279	chr9	96371356	96379094	-
NM_011280	chr17	37006519	37014778	+
NM_011281	chr3	94176716	94202196	+
NM_011282	chr10	51765732	51915050	-
NM_011283	chr1	4333588	4350395	-
NM_011284	chr4	132324275	132334661	+
NM_011285	chrX	9735342	9793921	-
NM_011286	chr5	121390509	121459547	-
NM_011287	chr17	28465416	28467978	+
NM_011288	chr7	149719022	149726647	+
NM_011289	chr11	101303559	101306910	+
NM_011290	chr5	121654510	121659250	+
NM_011291	chr1	16091376	16094514	-
NM_011292	chr5	65779603	65782670	-
NM_011293	chr5	136592561	136598817	+
NM_011294	chr15	11911094	11925762	-
NM_011295	chr10	23504989	23507015	-
NM_011296	chr17	34088944	34092586	-
NM_011297	chr14	25309903	25315368	+
NM_011299	chr17	7374464	7507664	+
NM_011300	chr12	29315712	29320818	-
NM_011302	chrX	157205945	157237595	+
NM_011303	chr4	144483040	144517548	+
NM_011304	chr7	52677268	52689834	-
NM_011305	chr2	27532721	27618839	+
NM_011306	chr17	34168757	34175348	+
NM_011307	chr13	55129241	55201656	-
NM_011308	chr11	62129928	62252017	-
NM_011309	chr3	90314956	90318252	-
NM_011310	chr3	90404137	90406624	+
NM_011311	chr3	90407692	90409967	+
NM_011312	chr3	90412444	90415702	+
NM_011313	chr3	90416816	90418336	+
NM_011314	chr7	54007203	54009684	+
NM_011315	chr7	53967368	53971046	-
NM_011316	chr7	53983362	53987973	-
NM_011317	chr4	129391061	129419547	-
NM_011318	chr1	174824092	174825185	-
NM_011319	chr3	108227782	108248177	-
NM_011320	chr5	33773383	33776739	-
NM_011321	chr17	24078963	24082574	+
NM_011322	chr7	31901543	31912042	-
NM_011323	chr15	100766702	100876369	+
NM_011324	chr6	125271358	125294960	+
NM_011325	chr7	129008552	129062242	+
NM_011326	chr7	128877993	128911996	+
NM_011327	chr4	107716435	107791152	-
NM_011328	chr7	148464228	148465032	-
NM_011329	chr11	81990168	81993314	-
NM_011330	chr11	81871334	81876457	+
NM_011331	chr11	81915347	81916901	+
NM_011332	chr8	97334353	97335936	+
NM_011333	chr11	81849079	81850954	+
NM_011334	chr7	7235020	7252268	-
NM_011335	chrUn_random	527839	528933	-
NM_011335_dup1	chrUn_random	739163	740257	-
NM_011335_dup2	chr4	42391950	42393044	-
NM_011335_dup3	chr4	42625691	42626785	+
NM_011336	chr4	41716351	41717085	-
NM_011337	chr11	83461345	83462880	-
NM_011338	chr11	83386419	83392138	-
NM_011339	chr5	91223560	91232093	+
NM_011340	chr11	75223531	75236125	-
NM_011341	chr4	155366952	155387719	+
NM_011342	chr3	97705150	97726241	+
NM_011343	chr11	16401641	16408487	-
NM_011344	chr12	93044483	93087597	-
NM_011345	chr1	165978365	165987808	+
NM_011346	chr1	165992207	166010916	+
NM_011347	chr1	166045395	166080157	+
NM_011348	chr5	14025276	14256689	+
NM_011349	chr9	107583833	107612806	-
NM_011350	chr6	82861879	82889763	-
NM_011351	chr3	94968261	94977972	+
NM_011352	chr9	57787942	57810672	+
NM_011353	chr13	100877974	100884188	+
NM_011354	chr2	121274934	121279156	+
NM_011355	chr2	90936835	90955916	+
NM_011356	chr2	80252127	80287553	-
NM_011358	chr11	116711211	116714408	-
NM_011359	chr14	70920749	70923888	-
NM_011360	chr6	4624350	4697204	-
NM_011361	chr10	21714472	21719708	+
NM_011363	chr7	133610507	133618644	-
NM_011364	chrX	39855742	39875272	+
NM_011365	chr12	4599814	4720758	+
NM_011366	chr14	70580275	70607478	-
NM_011367	chr11	69428318	69431407	-
NM_011368	chr3	89222473	89233951	+
NM_011369	chr8	4735976	4779567	-
NM_011370	chr7	63097441	63188003	+
NM_011371	chr11	116626339	116636821	-
NM_011372	chr3	152865473	153388097	-
NM_011373	chr2	32442598	32455216	+
NM_011374	chr6	142770061	142912972	-
NM_011375	chr6	72047602	72104564	+
NM_011376	chr10	50615457	50708958	+
NM_011377	chr16	94085505	94348638	+
NM_011378	chr9	56924183	56976175	+
NM_011379	chr19	5651185	5663707	-
NM_011380	chr17	86083608	86087594	-
NM_011381	chr17	86020174	86025531	+
NM_011382	chr12	74201246	74214232	-
NM_011383	chr7	19679893	19683694	+
NM_011384	chr12	74040869	74045886	+
NM_011385	chr4	154528184	154596644	-
NM_011386	chr3	30993980	31021845	+
NM_011387	chr12	82056479	82069066	-
NM_011388	chr8	5083219	5105287	-
NM_011390	chr13	73901145	73954190	+
NM_011391	chr10	124664541	124765591	-
NM_011392	chr13	55501009	55516056	+
NM_011393	chr2	102546595	102618263	+
NM_011394	chr8	23587172	23680088	+
NM_011395	chr17	12612840	12700570	-
NM_011396	chr11	53678044	53705205	-
NM_011397	chr18	35774258	35786881	-
NM_011398	chrX	45976755	46015475	+
NM_011399	chr15	81149351	81191195	-
NM_011400	chr4	118781350	118809934	+
NM_011401	chr6	122677827	122692763	-
NM_011402	chr5	53440592	53462902	+
NM_011403	chr11	102210134	102226595	-
NM_011404	chr8	124405046	124431586	-
NM_011405	chr14	54989126	55036539	-
NM_011406	chr17	81772445	82137727	-
NM_011407	chr11	82930347	82936161	+
NM_011408	chr11	82878614	82884180	+
NM_011409	chr11	83004832	83028656	+
NM_011410	chr11	82988688	83003718	+
NM_011412	chr11	34934958	35522009	+
NM_011413	chr17	34946037	34960399	-
NM_011414	chr2	164179806	164182243	-
NM_011415	chr16	14705952	14709475	+
NM_011416	chr19	26679650	26852811	+
NM_011417	chr9	21420613	21508674	+
NM_011418	chr10	75359514	75384359	-
NM_011419	chrY	234231	280254	+
NM_011420	chr13	100894810	100907653	+
NM_011421	chr7	112702874	112706903	+
NM_011422	chr5	88431550	88437559	+
NM_011424	chr5	125497523	125659584	-
NM_011425	chr17	25626820	25634233	-
NM_011426	chr2	130894956	130912501	-
NM_011427	chr2	167363695	167368311	+
NM_011428	chr2	136539186	136608164	+
NM_011430	chr14	35183460	35187855	-
NM_011431	chr11	102699786	102742289	-
NM_011432	chr17	27977032	27988912	+
NM_011434	chr16	90220987	90226569	+
NM_011435	chr5	52755043	52760977	+
NM_011436	chr9	41776572	41932372	-
NM_011437	chr15	78985343	78994920	-
NM_011438	chr2	152219348	152223782	-
NM_011439	chr1	135278877	135320789	-
NM_011440	chr9	99774525	99776589	-
NM_011441	chr1	4481009	4487435	-
NM_011443	chr3	34548917	34551382	+
NM_011444	chr6	143776945	144158088	-
NM_011445	chr7	122614386	123138600	-
NM_011446	chr14	64562543	64569569	+
NM_011447	chr17	25702838	25707631	-
NM_011448	chr11	112643524	112649071	+
NM_011449	chr9	37410879	37421305	-
NM_011451	chr11	116396054	116397989	+
NM_011452	chr13	33119283	33132427	+
NM_011453	chr13	33241144	33250220	-
NM_011454	chr13	33057382	33070906	+
NM_011455	chr13	33576659	33587869	+
NM_011456	chr13	33341479	33352715	+
NM_011458	chr12	105576696	105583949	+
NM_011459	chr1	109486583	109505555	+
NM_011460	chr13	33284828	33295849	+
NM_011461	chr10	88138015	88145768	-
NM_011462	chr13	51229687	51247931	+
NM_011463	chr4	40867089	40878428	+
NM_011464	chr7	30041349	30066996	-
NM_011465	chr1	176102907	176178580	+
NM_011467	chr6	85083674	85087758	-
NM_011468	chr3	92054569	92061226	+
NM_011468_dup1	chr3	92019757	92026413	+
NM_011469	chr3	92120627	92122007	+
NM_011470	chr3	92143062	92144795	+
NM_011471	chr3	92156065	92157371	+
NM_011472	chr3	92169109	92170364	+
NM_011474	chr3	92189607	92191241	+
NM_011475	chr3	92211913	92213193	+
NM_011477	chr3	92236504	92237849	+
NM_011478	chr3	92260424	92262642	-
NM_011479	chr12	88646008	88729305	-
NM_011480	chr11	60012586	60034129	-
NM_011481	chr2	180940268	180947876	-
NM_011482	chr15	81871775	81878028	-
NM_011483	chr17	56650671	56651906	-
NM_011484	chr2	13995739	14069957	+
NM_011485	chr8	26918946	26926454	+
NM_011486	chr11	100748120	100800854	-
NM_011487	chr1	52065084	52164033	+
NM_011488	chr11	100720665	100746483	+
NM_011489	chr11	100642045	100683884	-
NM_011490	chr2	166773049	166821799	-
NM_011491	chr11	31259441	31270061	-
NM_011492	chr10	79578548	79593430	+
NM_011494	chr1	75207404	75212181	+
NM_011495	chr3	40603873	40620805	+
NM_011496	chr11	68859139	68865166	+
NM_011497	chr2	172181690	172196070	-
NM_011498	chr6	108610623	108616919	+
NM_011499	chr6	137683603	137700451	+
NM_011500	chr17	79053304	79135900	-
NM_011502	chr19	11849608	11893893	-
NM_011503	chr8	3631160	3643644	+
NM_011504	chr3	108596098	108643420	-
NM_011505	chr11	90337807	90499422	-
NM_011506	chr14	73952593	73995949	+
NM_011507	chr6	95423003	95668840	-
NM_011508	chr11	100181263	100183413	+
NM_011509	chr10	31133532	31134241	-
NM_011510	chr7	53359893	53435403	-
NM_011511	chr6	142536382	142650794	-
NM_011512	chr2	26775561	26789031	-
NM_011513	chr2	26760787	26766162	-
NM_011514	chrX	7638297	7651886	-
NM_011515	chrX_random	10737	39191	-
NM_011516	chr3	102622422	102740023	-
NM_011517	chr10	87922332	87935981	+
NM_011518	chr13	52692251	52744161	+
NM_011519	chr12	8778202	8800493	+
NM_011520	chr4	130348452	130382233	+
NM_011521	chr2	164249747	164268688	-
NM_011522	chr17	24822037	24826894	-
NM_011523	chr17	5975586	6044290	+
NM_011526	chr9	45737711	45744141	-
NM_011527	chr4	114729031	114744360	+
NM_011528	chr7	148578059	148588875	+
NM_011529	chr2	61416643	61492226	+
NM_011530	chr17	34341424	34353266	+
NM_011532	chr16	18581797	18587062	-
NM_011533	chr19	3992752	3999512	+
NM_011535	chr5	120121242	120134733	+
NM_011536	chr11	85703565	85729599	+
NM_011537	chr5	120284672	120335227	+
NM_011538	chr7	133924997	133929062	+
NM_011539	chr6	38868985	39034578	+
NM_011540	chr11	98245125	98246267	+
NM_011541	chr1	4847775	4887990	+
NM_011542	chr4	135803872	135830814	+
NM_011543	chr11	52045497	52060360	+
NM_011544	chr9	71692059	71959626	-
NM_011545	chr10	22537079	22539934	-
NM_011546	chr18	5591858	5775466	+
NM_011547	chr13	40810672	40829192	-
NM_011548	chr10	79871910	79896398	-
NM_011549	chr17	47922693	47929365	+
NM_011550	chr11	100948604	100953521	+
NM_011551	chr11	102165877	102180410	-
NM_011552	chr18	60973410	61008618	-
NM_011553	chr17	7529009	7550209	+
NM_011560	chr17	15164118	15178523	-
NM_011561	chr10	82092583	82113239	+
NM_011562	chr9	110842112	110848662	-
NM_011563	chr8	87493521	87498709	+
NM_011564	chrY	1918381	1919568	-
NM_011565	chr7	52471123	52488989	+
NM_011566	chr17	28468618	28487750	-
NM_011567	chr6	128177161	128250831	-
NM_011568	chr11	120455830	120459679	-
NM_011569	chr11	72158219	72175384	-
NM_011571	chr4	43455149	43460947	+
NM_011573	chr9	106561077	106588147	-
NM_011574	chr8	109417540	109446994	+
NM_011575	chr17	31262251	31266556	-
NM_011576	chr2	84273017	84314331	-
NM_011577	chr7	26472021	26490096	+
NM_011578	chr5	107535586	107718648	-
NM_011579	chr11	48798831	48805748	-
NM_011580	chr2	117937612	117952869	+
NM_011581	chr17	14802507	14831269	-
NM_011582	chr13	93521541	93564773	-
NM_011583	chr10	79039222	79049881	-
NM_011584	chr14	19036570	19071620	-
NM_011585	chr6	86354213	86383399	+
NM_011586	chr11	77590737	77679490	+
NM_011587	chr4	118143796	118162454	-
NM_011588	chr7	13609501	13616381	+
NM_011589	chr10	127675122	127689997	+
NM_011590	chr1	137198112	137210314	-
NM_011591	chrX	7476462	7484778	+
NM_011592	chr8	4259731	4275905	-
NM_011593	chrX	20447292	20451863	+
NM_011594	chr11	118162375	118216725	-
NM_011595	chr10	85763157	85812250	+
NM_011596	chr5	125079633	125204825	+
NM_011597	chr19	24168992	24299516	-
NM_011598	chr3	10193624	10197283	-
NM_011599	chr4	71770979	71861927	-
NM_011600	chr19	14522562	14672673	-
NM_011602	chr4	43544385	43575455	-
NM_011603	chr10	22423683	22451253	-
NM_011604	chr5	65344334	65351273	-
NM_011605	chr10	90623162	90634364	-
NM_011606	chr9	123060064	123066550	+
NM_011607	chr4	63620819	63708049	-
NM_011608	chr16	11313902	11320161	+
NM_011609	chr6	125299741	125312501	+
NM_011610	chr4	144802271	144836773	-
NM_011611	chr2	164881136	164897154	+
NM_011612	chr4	150294264	150320211	+
NM_011613	chr14	78677253	78707850	-
NM_011614	chr11	69499742	69509600	-
NM_011615	chr1	173259276	173272632	+
NM_011616	chrX	54465320	54477219	+
NM_011617	chr17	57285420	57289200	-
NM_011618	chr7	4456172	4467577	-
NM_011619	chr1	137732911	137748845	+
NM_011620	chr7	149684741	149701914	+
NM_011622	chr8	77557585	77594020	+
NM_011623	chr11	98854261	98885503	-
NM_011624	chr16	16870829	16893079	+
NM_011625	chr12	113066669	113146266	-
NM_011626	chr5	76612905	76638269	+
NM_011627	chr9	85735987	85740662	+
NM_011629	chr10	93610676	93659959	+
NM_011630	chr6	92041412	92123052	+
NM_011631	chr10	86153586	86168189	-
NM_011632	chr12	112404581	112505366	+
NM_011633	chr1	193821084	193916480	-
NM_011634	chr9	107853294	107874599	+
NM_011635	chrX	135868222	135872708	+
NM_011636	chr9	92145032	92167399	+
NM_011637	chr9	108960446	108962237	-
NM_011638	chr16	32608982	32632880	+
NM_011639	chr5	137751127	137755469	-
NM_011640	chr11	69393861	69405375	+
NM_011641	chr16	25802002	25892174	+
NM_011642	chr4	153430358	153514317	-
NM_011643	chr9	95605486	95650777	-
NM_011644	chr7	109219733	109245378	+
NM_011645	chr6	41323758	41327612	-
NM_011646	chr6	41252271	41255532	+
NM_011647	chr17	24732761	24769572	-
NM_011648	chr12	92639433	92778949	+
NM_011650	chr1	120195095	120207709	-
NM_011651	chr7	52198610	52213405	+
NM_011652	chr2	76542041	76820604	-
NM_011653	chr15	98780278	98783932	-
NM_011654	chr15	98761862	98764821	-
NM_011655	chr17	35970865	35975246	-
NM_011656	chr3	94416675	94462794	-
NM_011657	chr6	128271179	128305869	-
NM_011658	chr12	34642536	34644696	+
NM_011659	chr4	155387804	155390698	+
NM_011660	chr4	57956245	57969283	-
NM_011661	chr7	94573281	94642022	-
NM_011662	chr7	31198807	31202598	+
NM_011663	chr11	22872005	22876496	+
NM_011664	chr11	62364673	62366715	+
NM_011665	chr17	25397456	25411255	-
NM_011666	chr6	97133626	97155641	-
NM_011667	chrY_random	43172478	43197989	+
NM_011668	chr7	66484122	66562097	+
NM_011669	chr5	147546388	147606532	-
NM_011670	chr5	67067360	67078473	+
NM_011671	chr7	107641867	107648138	+
NM_011672	chr16	18812387	18835354	+
NM_011673	chr4	59202422	59235705	+
NM_011674	chr3	125568261	125641468	-
NM_011675	chr2	32110522	32115625	-
NM_011676	chr11	78156997	78162666	+
NM_011677	chr5	114581165	114589330	+
NM_011678	chr9	108250162	108294860	+
NM_011680	chr7	31730267	31741822	-
NM_011681	chr19	9158132	9162446	-
NM_011682	chr10	12101986	12581533	-
NM_011683	chr6	90072637	90080639	+
NM_011684	chr6	89881644	89890501	-
NM_011686	chr14	52030676	52038557	+
NM_011690	chr17	35137852	35153274	+
NM_011691	chr17	57418523	57468659	+
NM_011692	chrX	72759636	72780285	+
NM_011693	chr3	115812938	115832606	-
NM_011694	chr11	52174364	52202899	+
NM_011695	chr14	22650783	22665101	+
NM_011696	chr8	23687547	23704285	-
NM_011697	chr19	7056962	7062141	-
NM_011698	chr7	52623261	52625934	-
NM_011699	chr2	109731035	109741093	+
NM_011700	chr9	118961896	118980643	+
NM_011701	chr2	13495938	13504453	+
NM_011702	chr10	4698925	4707323	-
NM_011703	chr9	121551834	121582072	+
NM_011704	chr10	23614494	23625149	+
NM_011705	chr12	107248473	107315620	+
NM_011706	chr11	62387988	62413807	+
NM_011707	chr11	78312622	78315827	+
NM_011708	chr6	125502966	125636697	+
NM_011709	chr11	6535486	6538652	-
NM_011710	chr12	110098240	110131421	-
NM_011711	chr15	99147643	99200913	-
NM_011712	chrX	132779619	132781678	+
NM_011714	chr5	135663193	135721999	+
NM_011715	chr5	38918052	38952834	-
NM_011716	chr5	37357343	37380221	-
NM_011717	chr17	32490995	32525895	-
NM_011718	chr15	98602183	98608581	-
NM_011719	chr11	103588677	103611135	-
NM_011720	chr19	44567962	44588763	+
NM_011721	chr8	34344845	34495999	-
NM_011722	chr8	35153475	35171766	-
NM_011723	chr17	74233235	74299536	-
NM_011724	chr9	119922873	119932716	-
NM_011725	chrX	51086911	51100883	-
NM_011727	chrX	70499879	70510729	-
NM_011728	chr4	46188094	46209183	-
NM_011729	chr1	44204589	44238105	+
NM_011731	chr9	123502938	123541683	-
NM_011732	chr4	118949932	118967118	-
NM_011733	chr6	131314876	131338468	-
NM_011734	chr9	37421432	37455903	+
NM_011737	chr1	129711848	129736867	-
NM_011738	chr5	33361465	33370615	+
NM_011739	chr12	21396190	21423297	-
NM_011740	chr15	36700017	36724293	-
NM_011741	chr5	137819865	137918292	-
NM_011742	chr8	114167343	114194911	+
NM_011743	chr2	120332556	120389595	-
NM_011746	chr7	69562479	69565025	-
NM_011747	chr17	23712819	23736454	-
NM_011748	chr7	30821378	30836415	-
NM_011749	chr16	33380861	33503989	+
NM_011750	chr19	6363690	6378038	+
NM_011751	chr11	80196781	80209750	+
NM_011752	chr9	46081147	46090725	+
NM_011753	chr9	20232762	20264604	-
NM_011754	chr7	30678356	30691123	-
NM_011755	chr18	24148135	24163872	+
NM_011756	chr7	29161803	29164247	-
NM_011757	chr5	138558133	138575493	+
NM_011758	chr11	58701655	58717727	-
NM_011759	chr15	75447114	75455730	+
NM_011760	chr17	21560191	21572348	+
NM_011762	chr7	28623603	28641793	+
NM_011763	chr6	118411968	118429291	-
NM_011764	chr8	108939239	108949789	+
NM_011765	chr17	17258347	17283842	+
NM_011766	chr15	40486588	40936138	+
NM_011767	chr15	12047606	12115205	+
NM_011768	chrX	91319970	91368746	-
NM_011769	chr7	6628154	6649143	-
NM_011770	chr1	69577784	69732534	-
NM_011771	chr11	98326007	98407345	-
NM_011772	chr10	128069471	128083049	-
NM_011773	chr5	31388479	31395900	-
NM_011774	chr2	122506969	122528399	-
NM_011775	chr7	127275872	127288805	-
NM_011776	chr5	136455975	136464494	+
NM_011777	chr6	42299827	42308561	+
NM_011778	chr19	4148663	4154035	+
NM_011779	chr5	114292448	114358715	-
NM_011780	chr1	63492465	63642675	+
NM_011781	chr8	41837562	41841541	+
NM_011782	chr16	85858402	85901370	-
NM_011783	chr12	36719512	36730668	+
NM_011784	chr2	84976517	84980080	+
NM_011785	chr1	178952246	179178898	-
NM_011786	chr11	68939879	68962617	+
NM_011787	chr8	96495488	96536540	-
NM_011789	chr10	79764565	79781001	+
NM_011790	chr9	108505274	108551711	-
NM_011791	chr8	26926473	26951259	-
NM_011792	chr9	45646628	45670567	+
NM_011793	chr19	5364633	5366876	-
NM_011794	chr1	187156038	187181648	+
NM_011795	chr11	102800578	102807775	-
NM_011796	chr1	94830985	94844525	+
NM_011797	chr3	95701723	95708562	-
NM_011798	chr9	123761436	123771246	-
NM_011799	chr11	98769465	98785256	+
NM_011800	chr1	106665396	106892058	+
NM_011801	chr8	114292373	114378210	-
NM_011802	chr9	65142067	65178465	+
NM_011803	chr13	5860735	5869639	+
NM_011804	chr1	167693911	167705435	+
NM_011805	chr2	180415659	180436807	-
NM_011806	chr5	9118868	9161776	-
NM_011807	chr7	98239296	99597756	+
NM_011808	chr9	32503627	32565405	+
NM_011809	chr16	95924014	95942656	+
NM_011810	chr9	98886792	98902438	+
NM_011811	chr1	78421320	78485472	-
NM_011812	chr12	102984775	103057329	-
NM_011813	chr7	4958658	4965855	-
NM_011814	chr11	69446473	69466799	+
NM_011815	chr15	6529847	6615608	+
NM_011816	chr5	92481171	92512770	-
NM_011817	chr13	51942044	51943843	+
NM_011818	chr6	86641762	86683372	-
NM_011819	chr8	73153292	73155994	-
NM_011820	chr10	75052126	75079713	+
NM_011821	chr14	117324519	118378751	+
NM_011822	chr17	26063365	26078934	-
NM_011823	chrX	13209895	13217984	+
NM_011824	chr2	113588832	113598805	-
NM_011825	chr1	176763916	176851950	-
NM_011826	chr3	89799368	89802638	-
NM_011827	chr7	31202731	31204873	-
NM_011828	chr3	144094071	144233180	-
NM_011829	chr6	29150437	29162297	-
NM_011830	chr9	108462832	108467897	+
NM_011831	chr4	102690478	102699333	-
NM_011832	chr3	87600873	87620023	+
NM_011834	chr8	62984921	63024474	+
NM_011835	chr10	7445798	7482948	+
NM_011836	chr2	31742801	31802055	+
NM_011837	chr15	75395175	75397612	-
NM_011838	chr15	74578286	74583409	-
NM_011839	chr3	86349503	86352205	-
NM_011840	chr9	63011577	63225659	-
NM_011841	chr11	61302314	61307768	-
NM_011842	chr19	9016410	9026790	+
NM_011843	chr10	127947306	127962915	-
NM_011844	chr6	88674406	88778354	+
NM_011845	chrX	137212567	137302254	+
NM_011846	chr5	130090044	130115029	+
NM_011847	chr5	30062438	30093641	+
NM_011848	chr8	23238755	23276907	-
NM_011849	chr14	31764563	31802011	+
NM_011850	chr4	133109291	133112601	+
NM_011851	chr9	88222447	88266927	+
NM_011852	chr5	121326151	121337622	-
NM_011854	chr5	115346943	115362254	+
NM_011855	chrX	39885570	40627961	-
NM_011856	chr11	35820158	36757743	-
NM_011857	chr8	49311019	49760044	-
NM_011858	chr7	103359147	104059602	+
NM_011859	chr12	9581248	9588306	+
NM_011860	chr7	24170908	24226942	+
NM_011861	chr17	27792536	27848062	+
NM_011862	chr15	83206037	83263280	-
NM_011863	chr3	131227732	131306635	+
NM_011864	chr19	32694495	32741677	+
NM_011865	chr6	86474491	86476159	-
NM_011866	chr17	8994610	9179513	+
NM_011867	chr12	32204684	32244834	-
NM_011868	chr13	35069617	35086013	-
NM_011869	chr11	98565905	98590749	-
NM_011870	chr7	87372042	87377691	-
NM_011871	chr2	76467994	76486051	-
NM_011872	chr7	51066664	51071757	+
NM_011873	chr15	100446093	100451192	+
NM_011874	chr7	28826721	28835111	-
NM_011875	chr7	148068293	148084541	+
NM_011876	chr9	106105439	106117718	+
NM_011877	chr12	99914951	99972855	-
NM_011878	chr17	3397207	3519397	+
NM_011879	chr18	36904310	36917293	+
NM_011880	chr1	176989207	177422676	-
NM_011881	chr8	13405081	13421949	+
NM_011882	chr1	155596556	155611351	+
NM_011883	chr3	57539984	57637154	+
NM_011884	chr4	33397286	33589589	+
NM_011885	chr7	29524660	29526800	-
NM_011886	chr3	88981313	88986692	+
NM_011887	chr9	119662883	119734574	-
NM_011888	chr4	42248504	42250497	+
NM_011888_dup1	chr4	42768057	42770050	-
NM_011889	chr15	82105365	82124872	+
NM_011890	chr5	74023988	74038970	-
NM_011891	chr11	46792285	47192804	-
NM_011892	chr14	61837952	61877327	-
NM_011893	chr5	34868433	34906288	+
NM_011894	chr14	32185800	32249286	-
NM_011895	chr4	34610506	34634687	-
NM_011896	chr3	37538869	37543521	+
NM_011897	chr14	106291164	106296036	-
NM_011898	chr18	38745919	38760922	-
NM_011899	chr12	56256327	56365681	+
NM_011899_dup1	chr12	56181483	56216354	+
NM_011900	chr11	69470201	69476151	-
NM_011902	chr4	125999365	126002443	-
NM_011904	chr19	41158471	41281264	-
NM_011905	chr3	83640194	83645530	-
NM_011906	chr6	88852245	88862234	+
NM_011907	chrX	70679044	70680682	-
NM_011908	chr5	149316207	149364364	-
NM_011909	chr6	121195924	121220935	+
NM_011910	chr4	150371206	150375919	+
NM_011911	chr6	90022080	90023012	-
NM_011912	chr6	83661258	83688298	+
NM_011913	chr19	10059662	10076123	-
NM_011914	chr5	34240829	34278907	-
NM_011915	chr10	120471060	120537698	+
NM_011916	chr9	95855179	95958225	+
NM_011917	chr2	146838796	146903733	+
NM_011918	chr14	35339885	35401867	-
NM_011919	chr8	11556457	11563251	+
NM_011920	chr6	58546666	58642445	+
NM_011921	chr19	20767443	20802046	-
NM_011922	chr8	64535839	64601990	-
NM_011923	chr2	33071481	33103234	+
NM_011924	chr1	133495691	133508577	+
NM_011925	chr8	86247150	86265210	-
NM_011926	chr7	26246721	26262644	-
NM_011927	chr7	17307278	17311459	+
NM_011929	chr4	147378368	147412922	-
NM_011930	chr17	25270336	25299048	+
NM_011931	chr1	161162457	161277711	+
NM_011932	chr3	137593971	137644513	-
NM_011933	chr17	26218156	26227109	-
NM_011934	chr12	87762594	87862578	+
NM_011935	chr1	189821706	190038763	+
NM_011936	chr8	93837424	94192332	+
NM_011937	chr18	38487191	38498647	-
NM_011938	chr13	55546692	55560938	+
NM_011939	chr8	107793701	107799745	+
NM_011940	chr1	175892700	175912975	-
NM_011941	chr2	119798435	119853139	+
NM_011942	chr4	135524140	135528509	-
NM_011943	chr11	110260436	110374951	+
NM_011944	chr8	4238740	4247897	+
NM_011945	chr13	112536643	112599191	-
NM_011946	chr18	32322743	32396405	+
NM_011947	chr11	105946216	106016748	+
NM_011948	chr17	12420487	12511526	-
NM_011949	chr16	16983475	17047546	+
NM_011950	chr17	28906262	28915649	+
NM_011951	chr17	28828287	28885350	+
NM_011952	chr7	133903140	133909330	+
NM_011954	chr13	12883083	12892325	-
NM_011955	chr16	10412031	10424518	+
NM_011956	chr17	25019556	25023295	-
NM_011957	chr2	91822485	91864327	-
NM_011958	chr2	48758372	48804787	-
NM_011959	chr5	21992307	22056149	-
NM_011960	chr14	33015157	33110735	+
NM_011961	chr9	92437061	92503265	+
NM_011962	chr5	137462889	137472516	+
NM_011963	chr7	18931157	18940356	-
NM_011964	chr7	19374474	19383859	-
NM_011965	chr7	121408064	121419630	-
NM_011966	chr9	54798666	54805837	+
NM_011967	chr3	108059844	108082870	+
NM_011968	chr12	56499812	56519446	+
NM_011969	chr2	179771072	179777169	-
NM_011970	chr4	126354887	126386959	+
NM_011971	chr11	97564748	97574814	+
NM_011972	chr18	70668334	70689975	-
NM_011973	chr12	112046008	112079149	-
NM_011975	chr7	116662709	116665883	+
NM_011976	chr19	45063834	45077885	+
NM_011977	chr8	74092826	74110607	+
NM_011978	chr2	126378760	126413979	+
NM_011979	chr10	23571268	23589649	+
NM_011980	chr7	30946287	30954746	-
NM_011981	chr7	30880095	30892633	+
NM_011982	chr13	94073712	94126840	+
NM_011983	chr7	88745367	88851811	-
NM_011984	chr8	72806898	72818260	+
NM_011985	chr4	155024764	155027493	-
NM_011986	chr4	126420994	126430673	-
NM_011987	chr16	13715150	13730577	-
NM_011988	chr3	90189155	90193860	-
NM_011989	chr2	29658200	29673042	+
NM_011990	chr3	50168858	50247535	-
NM_011991	chr11	59631306	59653269	-
NM_011992	chr9	55889652	55906890	+
NM_011993	chr7	146271900	146287690	+
NM_011994	chr15	90976302	91022238	-
NM_011995	chr5	14514918	14863459	+
NM_011996	chr3	138078461	138093856	+
NM_011997	chr4	32702445	32740246	+
NM_011998	chr8	112552975	112563234	-
NM_011999	chr6	123073334	123094017	+
NM_012000	chr8	14888536	14901719	+
NM_012001	chr5	100947328	100976821	+
NM_012002	chr5	138602330	138605212	+
NM_012003	chr6	124908825	124915415	-
NM_012005	chrX	12256870	12339099	-
NM_012006	chr12	85350452	85358619	+
NM_012007	chr13	61101639	61107272	-
NM_012008	chrY	597158	623056	-
NM_012009	chr1	172207455	172215793	+
NM_012010	chrX	91434048	91457990	-
NM_012011	chrY	347055	365037	+
NM_012012	chr1	177810909	177841527	+
NM_012013	chr6	85967185	85970990	+
NM_012014	chr13	54838032	54851235	-
NM_012015	chr13	56174983	56236911	-
NM_012016	chr7	129313407	129329745	-
